TAXA	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Chlamydiae	Cyanobacteria	Deinococcus-Thermus	Firmicutes	Fusobacteria	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia
Actinobacteria	0.0	0.0	0.1278524180244982	0.13699536166472998	0.18328936032107251	0.01882813364890378	0.0	0.24713563271374758	0.12493651563531452	0.15378845358041002	0.07565067116609353	0.08078886735702896	0.0
Bacteroidetes	0.0	0.0	0.022741111416579484	0.0	0.0	0.0	0.0	0.0	0.0	0.039056655121703705	0.013365352654660463	0.0	0.34274076663198516
Candidatus Saccharibacteria	0.1278524180244982	0.022741111416579484	0.0	0.0	0.0	0.0	0.0	0.5082302565498872	0.013944080702298696	0.2077656355162647	0.021537913564484357	0.05651018665719985	0.0
Chlamydiae	0.13699536166472998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17368622845108378	0.0	0.0	0.0	0.0
Cyanobacteria	0.18328936032107251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02731099519261691	0.0	0.0	0.0	0.0
Deinococcus-Thermus	0.01882813364890378	0.0	0.0	0.0	0.0	0.0	0.0	0.07635739174917186	0.24422221149348286	0.0	0.0	0.21118890750022284	0.0
Firmicutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025653714572552923	0.0
Fusobacteria	0.24713563271374758	0.0	0.5082302565498872	0.0	0.0	0.07635739174917186	0.0	0.0	0.2216681664186149	0.06958127488319225	0.0	0.015332120413062625	0.0
Proteobacteria	0.12493651563531452	0.0	0.013944080702298696	0.17368622845108378	0.02731099519261691	0.24422221149348286	0.0	0.2216681664186149	0.0	0.0	0.0	0.0	0.0
Spirochaetes	0.15378845358041002	0.039056655121703705	0.2077656355162647	0.0	0.0	0.0	0.0	0.06958127488319225	0.0	0.0	0.6545145697826813	0.5379827346192637	0.0
Synergistetes	0.07565067116609353	0.013365352654660463	0.021537913564484357	0.0	0.0	0.0	0.0	0.0	0.0	0.6545145697826813	0.0	0.5715392112068955	0.0
Tenericutes	0.08078886735702896	0.0	0.05651018665719985	0.0	0.0	0.21118890750022284	0.025653714572552923	0.015332120413062625	0.0	0.5379827346192637	0.5715392112068955	0.0	0.0
Verrucomicrobia	0.0	0.34274076663198516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
